hotel_name,food_type,location,rating,delivery_time,percentage_off,amount_off
darbhanga xpress - the taste of mithila,"indian, seafood",kandivali east,3.3,35,50.0,100.0
marrakesh,"lebanese, north indian, kebabs, desserts, beverages",kandivali,0.0,0,0.0,0.0
bowl soul,"indian, asian, continental, pan-asian, chinese, mediterranean, mexican, lebanese, north indian, korean, japanese, south indian",goregaon,4.1,47,0.0,129.0
olio - the wood fired pizzeria,"pizzas, pastas, fast food, snacks, beverages",malad west,4.2,61,0.0,125.0
barista coffee,"beverages, snacks, desserts",malad west,4.2,44,0.0,125.0
kailash parbat,north indian,goregaon east,4.1,46,0.0,0.0
chaat street - desi chaat & chai,"snacks, chaat, street food, north indian, fast food",gorai road,3.8,44,0.0,125.0
suruchi veg restaurant,"north indian, chinese, south indian, fast food, beverages, biryani",malad kan east,4.5,32,10.0,800.0
oye paratha house,indian,malad kan east,4.1,35,50.0,100.0
mishra pan bhandar,"paan, sweets, mughlai",malad kan east,4.7,27,10.0,40.0
ebony casual diner,"north indian, chinese, biryani, tandoor, seafood",kandivali east,4.2,24,30.0,75.0
golden dragon chinese point,chinese,90 ft road,4.4,25,60.0,120.0
surbhi pure veg (thakur village),"indian, biryani, chinese, snacks, beverages",kandivali east,4.1,30,0.0,175.0
cafe cocobroma,"cafe, desserts, waffle, beverages, bakery, sweets",kandivali east,4.3,21,20.0,50.0
surbhi,"indian, biryani, chinese, south indian, snacks, desserts, beverages",kandivali east,4.3,29,40.0,80.0
konark veg diet,"north indian, chinese, south indian, indian",kandivali east,4.4,24,0.0,0.0
mira veg restaurant,"south indian, chinese, north indian, fast food, indian, beverages, street food",kandivali east,4.3,25,10.0,1500.0
aavakay the andhra kitchen,"andhra, biryani, indian, desserts, beverages",kandivali east,0.0,0,30.0,75.0
papacream,"ice cream, healthy food, desserts",kandivali west,4.3,38,60.0,120.0
bangalore iyengar's bakery,bakery,malad kan east,3.9,51,0.0,0.0
b burger - bigger burger,"burgers, american, beverages, snacks",malad west,4.2,45,0.0,125.0
art of dum,"biryani, north indian, kebabs, indian, awadhi, hyderabadi, mughlai, desserts, beverages",malad west,4.4,59,25.0,300.0
china box co,"chinese, asian, thai, seafood",borivali,4.1,42,0.0,150.0
mini punjab,"north indian, chinese",malad west,4.2,52,15.0,80.0
dimsum (momo) express,"north indian, chinese, tandoor",borivali,0.0,0,0.0,150.0
coco cafe,"cafe, burgers, american, italian, beverages, desserts, pastas, continental",goregaon east,4.1,66,0.0,175.0
al-baik.com,"fast food, pizzas, burgers, rolls & wraps, snacks",malad kan west,3.7,52,0.0,0.0
foodland,"mughlai, north indian, chinese, seafood",malad west,4.5,53,0.0,0.0
house of candy,sweets,malad west,3.7,78,0.0,0.0
fruit pop by eatfit,"beverages, juices, healthy food, desserts",gorai road,3.3,41,40.0,80.0
artinci - indulge guilt free!,"ice cream, healthy food, keto, desserts, snacks, beverages, bakery, sweets",malad west,4.2,50,0.0,175.0
taaka chinese,"chinese, oriental, asian",goregaon,0.0,0,0.0,129.0
tandoori nights,"mughlai, chinese",borivali west,4.1,43,0.0,0.0
mirch,"mughlai, north indian, chinese, south indian",borivali east,4.3,38,20.0,50.0
banglore iyengar bakery,"bakery, snacks",malad kan east,4.3,16,0.0,0.0
the baker's dozen,"bakery, snacks, desserts",goregaon,4.5,40,0.0,175.0
haka,"chinese, asian",malad west,4.3,64,0.0,125.0
samosa singh,"north indian, indian, snacks, street food",borivali,3.9,44,0.0,150.0
mainland china,chinese,goregaon east,4.3,60,0.0,125.0
the brooklyn creamery - healthy ice cream,"desserts, ice cream, healthy food",goregaon,4.2,47,15.0,800.0
ribbons and balloons - the cake shop,"cakes and pastries, bakery, desserts, ice cream",imperial heights,4.5,40,0.0,0.0
mom's kitchen,"north indian, indian, biryani",malad kan east,3.2,56,0.0,0.0
nomad pizza- traveller series,"pizzas, fast food, desserts, beverages",malad west,4.3,55,0.0,150.0
prasuma momo kitchen,"chinese, asian, snacks, tibetan, street food, japanese, pan-asian, beverages",malad kan west,4.6,48,0.0,100.0
the betel leaf co.,"paan, desserts, indian",malad kan west,4.6,45,15.0,700.0
punjab grill,"north indian, kebabs, biryani, mughlai",malad west,3.9,70,0.0,125.0
asia kitchen by mainland china,"asian, japanese, chinese",goregaon east,4.4,60,0.0,125.0
giani,"ice cream, beverages",borivali,0.0,0,0.0,0.0
pizzaexpress,"pizzas, italian",goregaon east,4.1,59,0.0,175.0
crusto's - cheese burst pizza,"pizzas, pastas, fast food, snacks, beverages",malad west,4.2,63,0.0,125.0
green cravings,"healthy food, fast food, grill",goregaon,4.1,50,0.0,159.0
biryani badshah,"biryani, hyderabadi, andhra, south indian, north indian, mughlai, kebabs",malad west,4.1,53,0.0,175.0
naadbramha idli,"chinese, south indian",malad kan west,3.8,43,0.0,0.0
boss burger,"burgers, american, fast food, snacks",goregaon east,4.1,49,0.0,175.0
edesia by freshmenu,"desserts, bakery, fast food",goregaon,4.1,49,0.0,0.0
doner and gyros,"lebanese, middle eastern, healthy food, salads, snacks, american, desserts, beverages, rolls & wraps, fast food",mira road,4.5,50,0.0,0.0
new york waffles & dinges,"waffle, bakery, desserts, beverages, ice cream",borivali,3.7,38,0.0,175.0
vividham sweets and dryfruits,"indian, snacks",borivali east,4.7,22,10.0,1000.0
juno's pizza by eatfit - baking fresh since 1974,"pizzas, pastas, jain, beverages, desserts, fast food",borivali west,4.2,40,0.0,125.0
starboy pizza & shakes,"pizzas, italian, desserts, beverages",borivali,0.0,0,0.0,175.0
slay coffee,"cafe, beverages, desserts, snacks, pastas",goregaon,4.2,55,0.0,100.0
the sugar free keto kafe - artinci,"ice cream, keto, healthy food, sweets, bakery, desserts, snacks",malad west,4.4,45,0.0,175.0
cake walk,"indian, bakery, waffle, desserts",malad kan west,0.0,0,0.0,0.0
akkad bakkad bombay boo - ab3,"snacks, fast food, pizzas",kandivali east,4.5,33,0.0,175.0
the wafflemeister,"desserts, beverages, sweets, ice cream",kandivali east,4.4,32,40.0,80.0
sanjay pure veg,"indian, south indian",borivali east,4.3,29,0.0,0.0
su-veg,"north indian, chinese, south indian, biryani, snacks, beverages",borivali east,4.4,39,30.0,75.0
"harsh thali and parathas - mom makes, son sells","north indian, thalis, gujarati, rajasthani, jain, chinese",kandivali east,4.5,39,20.0,50.0
monopoly,"italian, mexican, continental, juices, pizzas, snacks, pastas, beverages",borivali west,4.2,37,0.0,0.0
hotel sarvoday,chinese,malad kan east,3.1,34,40.0,200.0
maa anjani pav bhaji centre,chinese,borivali west,4.4,32,0.0,0.0
maharashtra biryani center,biryani,kandivali east,3.9,28,0.0,0.0
jain dughdalay,sweets,borivali,4.4,22,10.0,700.0
69 dackers lane,"bengali, biryani",malad kan east,3.8,27,50.0,100.0
madras talkies,"south indian, beverages",malad kan east,3.6,19,0.0,50.0
rama's sweets & snacks,"sweets, snacks",malad kan east,4.3,12,10.0,40.0
malvan kinara,"indian, chinese",akurli road,4.2,43,10.0,1500.0
oye bihari - real taste of bihar,"indian, seafood",kandivali east,0.0,0,50.0,100.0
donburi,"continental, chinese, oriental, asian, healthy food, fast food, indian, desserts",goregaon,3.8,45,0.0,129.0
khichdi express,"indian, north indian, home food, healthy food, snacks, juices, beverages",malad west,4.2,55,0.0,0.0
keventers ice cream,"ice cream, desserts",malad west,4.1,55,0.0,125.0
enso - sourdough pizza by nomad,"pizzas, fast food, desserts, salads, beverages",malad kan west,4.6,53,0.0,175.0
cafe delhi heights,"italian, american, indian",malad west,0.0,0,0.0,150.0
raja chinese & tandoor corner,"chinese, barbecue",kandivali west,3.9,36,0.0,100.0
su - swagat,"north indian, chinese, tandoor, beverages, ice cream, south indian",borivali,4.2,31,0.0,0.0
grand maratha,"north indian, chinese, malwani",borivali east,4.4,39,0.0,0.0
hotel shree ramdev,"south indian, punjabi, indian, tandoor, biryani, chinese",dahisar,4.4,27,0.0,0.0
dwaraka,"south indian, indian, chinese, north indian, italian",borivali west,4.6,32,0.0,0.0
paratha zone,"north indian, snacks, biryani",borivali,4.5,28,0.0,0.0
the cake point,bakery,borivali,0.0,34,0.0,0.0
agrawal sweets,"north indian, snacks",borivali east,3.8,27,0.0,150.0
kathiyawadi bhog,indian,borivali west,4.3,39,0.0,0.0
shree ram sweets and farsan,"sweets, snacks",borivali,4.6,29,0.0,0.0
bhaskar's puranpoli ghar,"maharashtrian, gujarati, mangalorean",malad kan west,4.4,38,0.0,0.0
chaap theka,"biryani, jain, tandoor, north indian",borivali,4.3,38,10.0,700.0
biryani barbeque chinese (bbc),"biryani, chinese, north indian, punjabi, kebabs, afghani",borivali west,4.4,30,0.0,0.0
damru paan shop,paan,borivali west,4.7,25,0.0,0.0
nandu dosa dinner,south indian,borivali,4.3,34,0.0,0.0
nagpal choley bhature,"north indian, tandoor, beverages, desserts",kandivali west,4.2,35,10.0,600.0
the juice junction,"juices, beverages",mahavir nagar kandivali west,4.4,28,0.0,200.0
nat khat pav bhaji and snacks corner,"north indian, fast food, snacks",malad kan east,3.4,51,60.0,120.0
mystic lebanese,"arabian, mediterranean, lebanese, turkish",malad kan east,4.2,45,0.0,125.0
amritsari kulcha junction (pure veg),"north indian, chaat, punjabi, beverages",borivali,4.1,46,0.0,100.0
south tiffin house exclusive,"south indian, street food, beverages, snacks",kandivali west,4.2,42,0.0,175.0
lata restaurant,"indian, chinese, mughlai, biryani, north indian",kandivali west,4.4,40,15.0,80.0
sandeep pure veg,"south indian, north indian, chinese, street food",railway station,4.5,42,0.0,0.0
sannidhi family restaurant (kandivali station),"mughlai, north indian, chinese, south indian, indian, salads, desserts, snacks, beverages",kandivali west,4.5,47,0.0,100.0
pangat (dahisar east),"konkan, chinese, tandoor, indian",dahisar,4.4,44,0.0,0.0
akkad bakkad bombay boom (mahavir nagar),"snacks, italian",kandivali west,4.2,44,0.0,100.0
ganesh snack & juice corner,"fast food, chaat",malad kan east,4.3,33,30.0,75.0
sonu's chinese corner,"chinese, north indian",borivali east,4.2,35,0.0,0.0
radha restaurant,"south indian, chinese, snacks, indian, beverages, pizzas",borivali west,4.5,35,0.0,0.0
sanjay icecreams,"ice cream, desserts",malad kan east,4.5,24,0.0,0.0
raisins chocolatier and patisserie,desserts,borivali,3.3,27,15.0,100.0
fisco restobar,"indian, chinese, italian, mexican",kandivali west,4.5,37,0.0,175.0
pizza story,"pizzas, burgers, desserts, chinese, pastas, italian",kandivali east,4.6,33,50.0,100.0
taste of kolkata,"indian, chinese, bengali",kandivali east,4.2,31,10.0,40.0
sizzling spices,"chinese, thai, asian, indonesian, seafood, beverages",kandivali east,4.4,27,20.0,50.0
times of paratha,"indian, snacks",kandivali east,0.0,40,50.0,100.0
malvani swaad (sushama's kitchen),"malwani, seafood, indian, north indian, biryani, salads, beverages, thalis",kandivali east,0.0,0,0.0,125.0
2 delicious poha house,"indian, snacks",malad kan east,0.0,0,10.0,40.0
new kulfi center,ice cream,malad kan west,4.6,26,0.0,0.0
swastik fast food (franky),fast food,borivali,4.2,33,0.0,0.0
a taste of india,"indian, chinese, mughlai, north indian",kandivali east,4.4,40,40.0,80.0
crave junction,"italian, chinese, pizzas, beverages",kandivali west,0.0,0,0.0,0.0
uk14,"beverages, ice cream",kandivali west,4.5,26,0.0,0.0
jain sweets,"street food, maharashtrian",dattani centre,4.3,36,15.0,80.0
ufo fries & corn,north indian,kandivali west,4.1,34,0.0,100.0
wtc pasta,"italian, snacks, grill, beverages, pizzas, pastas",borivali,3.9,40,0.0,0.0
ubq by barbeque nation,"north indian, barbecue, biryani, kebabs, mughlai, desserts",kandivali east,0.0,0,40.0,80.0
food costa,"fast food, pizzas, biryani, mexican, snacks, beverages, burgers","kandivali (east), thakur village",3.9,23,20.0,50.0
five star,"fast food, burgers, snacks",malad kan east,4.5,23,0.0,0.0
arihant dugdhalay,"desserts, sweets",borivali,4.4,25,0.0,0.0
al arabian shawarma,"arabian, lebanese, kebabs, salads, beverages, middle eastern",kandivali east,2.7,25,0.0,0.0
bombay sultaani biryani house,"indian, biryani",malad kan east,0.0,0,60.0,120.0
east asia - indian | asian | continental,"chinese, italian, thai, asian, indian, tandoor, continental, sushi, pizzas, salads",borivali west,4.2,42,0.0,0.0
joey's pizzeria-kandivali (e),"pizzas, chinese, desserts, burgers, pastas, italian",kandivali east,3.7,44,50.0,100.0
the chocolate heaven,"desserts, italian, snacks",borivali west,4.1,34,0.0,175.0
pavbhaji bistro,"indian, fast food",kandivali east,4.3,29,0.0,0.0
new wanton point,"indian, chinese",kandivali east,4.4,24,40.0,80.0
delicacy of mewar,snacks,malad kan east,3.8,41,10.0,1000.0
ek bihari - the bihar diaries,"indian, seafood","kandivali east, thakur village",3.7,35,50.0,100.0
yamu's panchayat,paan,malad kan east,4.9,16,0.0,0.0
vividh nx,"chinese, oriental, indian",kandivali east,4.4,35,10.0,40.0
kumar's cafe,"beverages, south indian",borivali,3.2,26,0.0,0.0
makhani darbar,"north indian, kebabs, mughlai, beverages, desserts",thakur village,0.0,23,50.0,100.0
baskin robbins happyness shakes,"beverages, desserts",kandivali east,3.8,27,30.0,75.0
pizza town,"pizzas, beverages, italian",malad kan east,3.9,27,30.0,75.0
jugheads,"continental, chinese, north indian, american",kandivali east,4.2,30,10.0,40.0
mahakali fast food & juice centre,"indian, south indian, beverages, awadhi",borivali west,4.4,33,10.0,600.0
aakash,"desserts, snacks",kandivali west,3.9,29,0.0,0.0
gupta bhelpuri house,"snacks, chaat",kandivali west,4.2,41,0.0,0.0
gaonthan the family restaurant,"north indian, chinese, biryani",malad kan east,4.3,36,15.0,45.0
the avenue,"north indian, chinese, tandoor, indian, seafood",malad kan east,4.5,33,0.0,0.0
souffle cake shop,bakery,borivali west,3.8,25,10.0,700.0
spring fields,"north indian, chinese, italian",borivali,4.5,40,30.0,75.0
sheetal dugdhalay,sweets,malad kan east,4.7,33,0.0,0.0
wa! wok (delicious chinese),"chinese, oriental, asian, burmese, thai",dahisar,4.3,39,0.0,0.0
one minute chai nashta,"bengali, snacks, street food",borivali,4.5,27,0.0,0.0
kuku's,chinese,borivali west,4.2,33,0.0,100.0
rtc - rolls and fried chicken,"snacks, fast food, north indian, street food",dahisar west,4.2,38,0.0,175.0
biryani barbeque chinese (bbc-babhai naka),"biryani, chinese, north indian, punjabi, kebabs, afghani",borivali west,4.5,35,0.0,0.0
gokul anand,"north indian, chinese, beverages, south indian",borivali,4.5,33,0.0,0.0
tuba restaurant,"chinese, north indian, biryani, indian, sweets, salads, snacks",malad kan east,4.1,39,0.0,150.0
the veg treat express,"north indian, indian, chinese, italian, mexican, desserts",borivali west,4.5,36,10.0,1000.0
pushti tushti,indian,borivali west,4.4,38,0.0,175.0
mm mithaiwala.,"sweets, snacks, bengali",malad kan east,4.3,39,0.0,175.0
anhad misal,"snacks, north indian",borivali,4.1,38,0.0,100.0
classic pure veg,"north indian, chinese",dahisar east,4.4,38,10.0,1500.0
sns mexican shack,"mexican, salads, burgers, tex-mex, beverages, fast food",malad kan west,4.4,59,0.0,100.0
stacks and racks,american,malad kan west,4.6,56,0.0,0.0
marathi mejwani,"indian, south indian, seafood",dahisar,4.3,43,0.0,0.0
gupta bhelpuri and sandwich corner,fast food,borivali west,4.2,41,0.0,0.0
sanata snacks,"maharashtrian, snacks, beverages",dahisar west,4.3,46,0.0,0.0
mm mithaiwala fast food,"fast food, south indian, indian, snacks, beverages",malad kan west,4.4,44,15.0,800.0
hotel gopal krishna,south indian,malad kan west,4.5,46,0.0,100.0
satkar rice plate house,"maharashtrian, malwani, seafood, biryani",goregaon east,4.6,53,10.0,1500.0
cafe shalimar,"north indian, biryani, desserts, beverages",malad,3.9,44,0.0,100.0
arabian shawarma cafe,"arabian, lebanese, snacks",borivali,4.2,43,0.0,250.0
china hunt,"chinese, north indian, tandoor",malad east,4.2,48,20.0,100.0
hotel sai palace grand,"north indian, chinese, biryani, desserts, continental, mangalorean, seafood, italian, fast food",malad west,4.5,58,0.0,0.0
khaas paratha,north indian,dahisar west,4.4,45,0.0,0.0
nischita nxt,"biryani, chinese, north indian, seafood",borivali west,4.4,51,0.0,100.0
foodgerk - the diet parlour,"continental, salads",malad west,4.3,52,0.0,150.0
jay prakash bar & restaurant,"indian, chinese",goregaon,4.2,55,0.0,175.0
yui,"asian, japanese",borivali west,4.4,50,0.0,175.0
sai veg world xpress,"south indian, north indian",malad kan west,0.0,0,0.0,175.0
dessert therapy,"cakes and pastries, desserts, beverages, bakery",kandivali west,4.6,46,0.0,0.0
sammy sosa,"mexican, asian",malad west,4.4,57,0.0,175.0
suka sukhi,"maharashtrian, malwani",jog gor east,4.4,50,0.0,0.0
queen margherita's pizzeria,"pizzas, italian-american",malad kan west,4.3,61,0.0,0.0
curry and combo twist (pure veg),indian,mum_jog gor east,4.3,44,0.0,0.0
the red turtle - pan asian bistro,"pan-asian, chinese, thai, japanese, singaporean",malad west,4.4,57,0.0,0.0
the veg treat royal,"north indian, indian, chinese, continental, south indian",borivali,4.5,42,0.0,0.0
mangoes,"mangalorean, goan",malad kan west,4.4,61,0.0,0.0
rangrezz desi restobar,north indian,borivali west,4.4,43,0.0,0.0
bansi vadapav,fast food,malad west,4.2,41,0.0,0.0
mumbaikar s food house,"indian, thalis",malad kan west,4.3,61,0.0,0.0
vivek chinese corner,chinese,borivali west,4.4,44,10.0,1300.0
pranayam (pure veg),"north indian, south indian, snacks",borivali,0.0,0,0.0,125.0
grab some momos here,"tibetan, chinese",borivali,4.5,42,0.0,0.0
peco peco,"chinese, asian, thai",malad west,4.4,48,0.0,0.0
meetha by radisson,desserts,goregaon west,4.6,54,10.0,40.0
rasodu - the ethnic kitchen,"indian, thalis, beverages",malad kan west,4.3,44,0.0,0.0
kake da hotel (since 1931),"north indian, tandoor, punjabi",jogeshwari west,4.2,53,15.0,800.0
# thali,"north indian, chinese",borivali,4.5,52,0.0,175.0
sernyaa,"tibetan, chinese",ashok enclave,4.5,56,10.0,900.0
udipi vihar (pure veg) restaurant,"chinese, north indian, south indian, tandoor, biryani, desserts",jog gor east,4.4,50,0.0,0.0
shubh sagar restaurant,"chinese, north indian, south indian",mira road,4.4,52,0.0,0.0
ruchi veg restaurant,"south indian, north indian, chinese, tandoor, biryani, juices, beverages, mughlai, home food, healthy food, italian, mexican",goregaon,4.1,46,10.0,900.0
jango's,"chinese, north indian, biryani, kebabs",malad west,4.2,55,0.0,100.0
konkan chilly,"konkan, north indian, chinese, tandoor, malwani",chincholi bunder,4.3,56,10.0,1000.0
flavours of china (evershine nagar),chinese,malad borivali area,4.2,51,0.0,100.0
landmark kitchens,"indian, snacks, pizzas, chinese",goregaon,4.4,56,0.0,0.0
"desi shack- acha khao, acha khilao- by om snacks","indian, fast food, snacks, italian, chinese, beverages",jog gor east,4.1,43,0.0,0.0
malgudi - veg & non-veg family restaurant,"north indian, chinese, south indian, malwani",borivali west,4.1,48,0.0,175.0
shiv sagar malad,"indian, chinese",malad west,4.2,48,10.0,1200.0
lalit bakery,"bakery, desserts, italian",borivali,4.3,51,0.0,0.0
namaskar the family restaurant,"north indian, chinese, maharashtrian, biryani",borivali east,4.4,49,0.0,0.0
green tadka,indian,goregaon west,4.4,51,0.0,0.0
stir fry grill,"chinese, continental, indian, thai, healthy food, pan-asian",malad west,4.3,48,0.0,175.0
deepak only veg,"south indian, chinese, indian",mumbai,4.4,49,10.0,600.0
gulistan family restaurant,chinese,malad west,4.1,43,10.0,1300.0
keto treats,"keto, bakery, ice cream, desserts",evershine nagar,4.4,52,10.0,900.0
hotel apala samadhan,"malwani, indian, chinese",borivali west,4.4,49,0.0,0.0
ravindra restaurant,"north indian, south indian, chinese, pizzas",dahisar east,4.5,43,0.0,0.0
apricot foods,"sweets, fast food, chaat, snacks, desserts, gujarati, maharashtrian",borivali west,4.5,43,0.0,100.0
sattvik tiffin co,"north indian, chinese",jog gor east,4.4,44,0.0,0.0
govindas veg treat,"north indian, chinese, beverages, south american",malad west,4.3,45,10.0,700.0
the delhi spice,"biryani, chinese, north indian",jog gor east,4.2,46,0.0,0.0
hotel national,"north indian, chinese",kandivali west,3.9,43,0.0,100.0
the burrow cafe,"pastas, continental",malad west,4.4,53,10.0,900.0
saundha,"north indian, biryani, kebabs, chaat, beverages",malad kan west,4.1,57,0.0,0.0
raju pav bhaji,chinese,mumbai,0.0,0,0.0,100.0
cha - ya its cup of tea,"beverages, snacks",borivali,4.5,40,20.0,500.0
coffee by di bella exclusive,"desserts, beverages, fast food, waffle, snacks, bakery",malad west,4.4,50,10.0,800.0
jagtap missal,"snacks, indian",borivali,3.8,34,0.0,0.0
nafees biryani,mughlai,malad east,4.2,38,30.0,150.0
r k ladoowala,"indian, sweets, desserts",dahisar,3.8,36,10.0,100.0
biryani-holic,"biryani, indian",malad east,0.0,0,30.0,150.0
the green kitchen,"fast food, indian, chinese, continental, tandoor, pizzas, south indian, mexican",borivali,4.3,39,0.0,0.0
"bindaas binge ( cakes, pastries & more )","bakery, desserts, sweets",malad east,4.4,38,0.0,0.0
anytime misal,"street food, beverages, desserts",borivali,4.1,37,0.0,0.0
andawala,"fast food, street food",borivali west,4.2,33,0.0,0.0
chatako the gujju's,gujarati,dahisar east,4.4,38,0.0,0.0
aditi fast food,"street food, indian, chinese, beverages",malad kan west,0.0,0,0.0,0.0
hotel shreedevi,"indian, chinese, punjabi",malad west,4.5,41,0.0,0.0
thepla junction,snacks,kandivali west,0.0,45,0.0,0.0
the daily deli,"continental, american, pizzas, pastas, beverages, desserts",malad west,4.3,60,0.0,100.0
cherry's kitchen,"indian, kerala",malad west,3.9,56,0.0,0.0
annapurna healthy kitchen,"gujarati, thalis",kandivali west,4.5,66,0.0,0.0
divya chinese corner,"chinese, indian",dahisar east,4.3,40,20.0,700.0
medha malvan,malwani,goregaon,4.2,59,15.0,800.0
vedant snacks corner,"south indian, beverages, north indian, juices",dahisar west,4.1,54,0.0,125.0
noor biryani center,"biryani, mughlai, north indian, indian, tandoor, punjabi, snacks, desserts",borivali west,3.7,44,30.0,150.0
dada's chinese kitchen,chinese,malad kan east,4.2,49,25.0,125.0
sun moon & potatoes,"continental, chinese, salads, asian",malad west,4.2,58,0.0,175.0
arabian shawarma by rudy's,"lebanese, arabian, salads",borivali west,4.2,41,0.0,100.0
fakth chicken,"indian, snacks",malad west,4.4,55,10.0,800.0
jalaram kathiyawadi thali,gujarati,borivali,4.3,45,0.0,0.0
samant bandhu nx,"desserts, snacks, sweets, beverages",goregaon west,4.4,43,0.0,0.0
silver oaks,"north indian, mughlai, chinese, continental",malad west,4.4,54,0.0,0.0
jai bholenath kathiyawadi,"thalis, gujarati, jain",dahisar east,4.1,49,0.0,0.0
cafe meter on,"italian, indian, chinese, continental",borivali west,4.4,51,0.0,100.0
choclato,"desserts, bakery",dahisar west,0.0,0,0.0,0.0
cafe lajawab,"arabian, snacks",malad kan west,0.0,0,40.0,200.0
mary fast food,"chinese, fast food",malad kan west,4.4,47,0.0,0.0
satyanarayan lunch home,"chinese, indian",jog gor east,4.3,46,0.0,0.0
uttar da puttar,"north indian, indian, punjabi, biryani",goregaon,4.1,53,15.0,800.0
alfredo's,"italian, european",malad kan west,4.1,55,10.0,1000.0
al-falah shawarma,lebanese,borivali west,4.4,51,0.0,0.0
mothers touch rajasthani,"indian, snacks",malad west,4.1,81,0.0,250.0
cravings all day,"bakery, desserts",goregaon west,4.7,44,0.0,125.0
big fat monk,"chinese, asian, fast food, desserts, beverages",malad west,4.1,53,0.0,175.0
44 the food hub,"chinese, south indian",malad kan west,4.4,54,10.0,700.0
radha krishna fast food - mahavir nagar,"indian, chinese",kandivali west,4.1,40,0.0,0.0
aniket chinese corner,"chinese, north indian, biryani",malad kan west,3.5,28,0.0,0.0
jungle juice,"beverages, juices",borivali,4.5,29,0.0,0.0
indore.online,"sweets, street food",malad kan east,4.3,14,0.0,0.0
rolls mania,fast food,malad east,4.3,46,0.0,0.0
vinayak ankit sandwich,"snacks, continental",kandivali west,4.4,51,15.0,500.0
hari om khaman house,"gujarati, snacks, sweets",borivali,4.4,32,0.0,0.0
fusion ice cream cakes,"ice cream, desserts, bakery, beverages",borivali west,4.5,30,0.0,100.0
hotel milan pure veg,indian,malad east,4.2,35,0.0,175.0
tibo dalwada,"street food, desserts",kandivali west,4.6,34,0.0,0.0
brain freeze ice cream & desserts,"ice cream, desserts",borivali,3.8,33,0.0,0.0
farmhouse-palladium,"indian, tandoor, chinese, continental, biryani, seafood, pizzas, pastas",borivali west,4.3,53,0.0,0.0
amantran restaurant,meat,dahisar,4.2,47,0.0,0.0
monopoly-the chinese edition,"chinese, oriental, continental",borivali west,3.9,44,0.0,0.0
dinshaw's xpress cafe and restro,"indian, continental, mexican, pizzas, pastas, burgers, snacks, fast food, beverages, juices, ice cream, desserts",borivali west,4.5,48,0.0,0.0
the nature bar,"salads, keto, burgers, beverages, mediterranean, american, healthy food, grill, greek",jog gor east,4.4,51,0.0,100.0
aakash sweets and snacks,"sweets, snacks",borivali west,4.4,30,0.0,0.0
nagpal's choley bhature,north indian,malad kan east,4.1,36,0.0,0.0
mumbadevi jalebi wala,"snacks, sweets",borivali,4.6,36,0.0,50.0
chhotu's kitchen,chinese,borivali west,4.2,33,0.0,0.0
desai bhaishankar gaurishanar (k.p.),sweets,malad kan east,4.8,34,10.0,700.0
shree makhan bhog,"chaat, snacks, sweets",malad,4.1,38,0.0,0.0
shawarma heaven,"lebanese, chinese, indian, continental, tandoor",malad west,4.3,38,15.0,900.0
sattva,"north indian, chinese",borivali west,4.4,35,0.0,100.0
seeta nx,chinese,borivali west,4.3,39,0.0,0.0
night evil chinese food,chinese,borivali west,4.1,38,0.0,0.0
bhoomi kolhapuri,street food,raja dalvi marg,0.0,0,0.0,0.0
hotel payal,"indian, chinese",dahisar,4.3,38,0.0,0.0
fling confectionery,"bakery, desserts",borivali,4.4,31,0.0,0.0
pipasa,"beverages, snacks",borivali,4.4,30,0.0,0.0
dessert junction,"desserts, fast food",borivali west,4.3,36,0.0,0.0
bina's fresh batch homemade ice cream,"desserts, ice cream",malad kan west,4.2,49,0.0,175.0
samvene - the bagel cafe,"american, burgers, italian, continental, pizzas, pastas, beverages, snacks",malad west,4.5,55,15.0,900.0
wokstreet,"chinese, fast food",malad kan west,3.5,59,0.0,250.0
moments,"bakery, desserts",malad kan west,4.5,51,0.0,0.0
hotel malvan katta,biryani,"vithbhati, goregoan (east) 3)",4.2,44,0.0,0.0
sindhi tadka,"sindhi, north indian, indian",kandivali west,3.6,42,0.0,0.0
kokan katta,"seafood, chinese, indian, north indian, beverages, biryani",chincholi bunder road,4.2,57,0.0,175.0
the fusion kitchen,"italian, asian",borivali west,4.5,49,0.0,0.0
oriental stir fry,"fast food, chinese, south indian, indian",borivali,3.8,45,0.0,0.0
zesty kitchen,"indian, seafood, north indian, biryani, south indian, bengali, malwani",goregaon,4.1,62,15.0,900.0
konkan spice,"south indian, malwani",malad west,0.0,0,0.0,0.0
chholay,"north indian, indian, jain",malad west,4.3,51,0.0,175.0
british brewing company,"italian, american, indian, asian",goregaon east,4.3,53,0.0,0.0
zoodles,"pan-asian, chinese, seafood, thai, asian, desserts",malad west,4.6,59,0.0,125.0
shawarma house express,"indian, beverages, turkish",malad kan west,4.1,47,0.0,0.0
hotel jyoti,indian,malad kan east,4.1,43,0.0,0.0
ahare bangla,bengali,malad kan east,4.8,69,0.0,0.0
classic veg restaurant,chinese,malad kan east,4.3,43,0.0,0.0
the boston cafe & patisserie,"desserts, bakery",malad west,4.5,51,20.0,50.0
makhan maar ke,north indian,borivali west,4.1,43,0.0,0.0
amber restaurant,"chinese, indian, tandoor",trikamdas road,4.1,44,0.0,50.0
the bombay chaat co by spukies,"chaat, south indian, juices, beverages",jog gor east,4.3,47,10.0,800.0
